Column1;user_name;user_location;user_description;user_created;user_followers;user_friends;user_favourites;user_verified;date;text;hashtags;source;is_retweet
208738;HIDE ღ❤ღ꒰･‿･๑꒱㌰㌰official;日本;"SOUND & MUSIC is My Life.
♫ This is Twitter to have everybody meet favorite music.
ღ(๑◔‿◔๑)ღ Other information.
 Feel free to follow.  ×DM";4/10/2015 12:23;30070;2462;53051;FALSO;7/11/2021 19:28;#F1 #FORMULA1 #MexicoGP🇲🇽 Final. https://t.co/WIYUdpoH8R;['F1', 'FORMULA1', 'MexicoGP'];Twitter Web App;FALSO
272874;Sol Saltiel;Athens, Greece;Voice over artist, Masterchef Greece, Native Advertising, AdTech, father, F1, travel, food, tabata, running, wine & single malt lover;18/12/2012 14:11;2480;87;765;FALSO;21/11/2021 17:40;#QatarGP #QatarGrandPrix #F1 Great honor to be photographed with a legend Sir Jackie Stewart! https://t.co/jBB6toA43H;['QatarGP', 'QatarGrandPrix', 'F1'];Twitter for iPhone;FALSO
119582;Luke Smith;London, England;Formula 1 reporter for @autosport. @nytimes contributor.;5/1/2010 14:35;531000;737;14305;VERDADERO;4/9/2021 13:19;"Q1 is done and Sergio Perez is out for Red Bull - first man to cross the line gets caught out by huge track evolution. Eliminated:

16. Perez
17. Vettel
18. Kubica
19. Schumacher
20. Mazepin

#F1 #DutchGP";['F1', 'DutchGP'];TweetDeck;FALSO
